分类: 央视频道, 名称: CCTV-1综合, 有效: 14, IPv4: 108, IPv6: 34, 最小延迟: 43 ms, 最高速率: 24.05 MiB/s, 平均速率: 16.30 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.75, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-2财经, 有效: 12, IPv4: 98, IPv6: 14, 最小延迟: 51 ms, 最高速率: 24.77 MiB/s, 平均速率: 17.49 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.37, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-3综艺, 有效: 15, IPv4: 94, IPv6: 21, 最小延迟: 47 ms, 最高速率: 26.43 MiB/s, 平均速率: 11.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.65, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-4中文国际, 有效: 14, IPv4: 109, IPv6: 20, 最小延迟: 19 ms, 最高速率: 24.82 MiB/s, 平均速率: 6.59 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.07, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-5体育, 有效: 13, IPv4: 372, IPv6: 72, 最小延迟: 26 ms, 最高速率: 25.55 MiB/s, 平均速率: 13.57 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-5+体育赛事, 有效: 8, IPv4: 318, IPv6: 92, 最小延迟: 46 ms, 最高速率: 22.52 MiB/s, 平均速率: 11.23 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.62, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-6电影, 有效: 10, IPv4: 100, IPv6: 29, 最小延迟: 22 ms, 最高速率: 26.31 MiB/s, 平均速率: 19.16 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.05, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-7国防军事, 有效: 14, IPv4: 95, IPv6: 14, 最小延迟: 44 ms, 最高速率: 26.20 MiB/s, 平均速率: 12.25 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 28.95, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-8电视剧, 有效: 12, IPv4: 101, IPv6: 13, 最小延迟: 31 ms, 最高速率: 26.62 MiB/s, 平均速率: 12.83 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-9纪录, 有效: 11, IPv4: 96, IPv6: 14, 最小延迟: 42 ms, 最高速率: 26.72 MiB/s, 平均速率: 18.15 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.11, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-10科教, 有效: 14, IPv4: 95, IPv6: 14, 最小延迟: 39 ms, 最高速率: 26.96 MiB/s, 平均速率: 13.52 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-11戏曲, 有效: 13, IPv4: 89, IPv6: 13, 最小延迟: 19 ms, 最高速率: 20.86 MiB/s, 平均速率: 5.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.0, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-12社会与法, 有效: 10, IPv4: 120, IPv6: 38, 最小延迟: 46 ms, 最高速率: 24.55 MiB/s, 平均速率: 18.88 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.35, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-13新闻, 有效: 12, IPv4: 97, IPv6: 13, 最小延迟: 21 ms, 最高速率: 26.28 MiB/s, 平均速率: 17.56 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 27.5, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道, 名称: CCTV-14少儿, 有效: 10, IPv4: 95, IPv6: 15, 最小延迟: 49 ms, 最高速率: 26.95 MiB/s, 平均速率: 18.75 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 29.21, 视频编解码器: h264, 音频编解码器: aac
